,ResourceSpeciesID,ConsumerSpeciesID,Type
1,1,7,Feeding
2,1,8,Feeding
3,1,11,Feeding
4,1,12,Feeding
5,1,13,Feeding
6,1,22,Feeding
7,1,23,Feeding
8,2,7,Feeding
9,2,8,Feeding
10,2,9,Feeding
11,2,11,Feeding
12,2,12,Feeding
13,2,13,Feeding
14,2,22,Feeding
15,2,23,Feeding
16,3,14,Feeding
17,3,15,Feeding
18,3,16,Feeding
19,3,17,Feeding
20,3,18,Feeding
21,4,17,Feeding
22,5,6,Feeding
23,6,7,Feeding
24,7,8,Feeding
25,7,9,Feeding
26,7,11,Feeding
27,7,12,Feeding
28,7,13,Feeding
29,8,9,Feeding
30,8,10,Feeding
31,8,20,Feeding
32,8,21,Feeding
33,8,22,Feeding
34,8,23,Feeding
35,8,24,Feeding
36,9,10,Feeding
37,11,19,Feeding
38,12,19,Feeding
39,12,26,Feeding
40,14,25,Feeding
41,14,26,Feeding
42,14,27,Feeding
43,14,28,Feeding
44,14,29,Feeding
45,15,19,Feeding
46,15,25,Feeding
47,15,26,Feeding
48,15,27,Feeding
49,15,28,Feeding
50,15,29,Feeding
51,16,19,Feeding
52,16,27,Feeding
53,18,19,Feeding
54,18,25,Feeding
55,18,26,Feeding
56,18,27,Feeding
57,18,29,Feeding
58,18,32,Feeding
59,19,33,Feeding
60,21,33,Feeding
61,22,27,Feeding
62,22,28,Feeding
63,22,30,Feeding
64,22,31,Feeding
65,22,32,Feeding
66,22,33,Feeding
67,23,30,Feeding
68,23,32,Feeding
69,23,33,Feeding
70,27,30,Feeding
71,31,32,Feeding
72,19,1000,ES
73,23,1000,ES
74,25,1000,ES
75,28,1000,ES
76,30,1000,ES
77,31,1000,ES
78,32,1000,ES
79,33,1000,ES
80,19,1300,ES
81,25,1300,ES
82,27,1300,ES
83,28,1300,ES
84,29,1300,ES
85,30,1300,ES
86,31,1300,ES
87,32,1300,ES
88,33,1300,ES
89,4,700,ES
90,4,800,ES
91,13,700,ES
92,13,900,ES
93,13,800,ES
94,14,700,ES
95,4,900,ES
96,11,900,ES
97,12,900,ES
98,14,900,ES
99,15,900,ES
100,16,900,ES
101,1,800,ES
102,4,600,ES
103,13,600,ES
104,2,800,ES
105,3,800,ES
106,5,800,ES
107,6,800,ES
108,7,800,ES
109,8,800,ES
110,9,800,ES
111,10,800,ES
112,12,800,ES
113,13,800,ES
114,16,800,ES
115,14,800,ES
116,15,800,ES
117,17,800,ES
118,19,800,ES
119,21,800,ES
120,22,800,ES
121,23,800,ES
122,24,800,ES
123,25,800,ES
124,26,800,ES
125,27,800,ES
126,28,800,ES
127,29,800,ES
128,30,800,ES
129,31,800,ES
130,32,800,ES
131,33,800,ES
